PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Melvin Frazier,SG,23,ORL,19,126,10%,84%,5%,,,-14.4,-13.9,2,2,7,0,1,1,7,0,1
Michael Frazier,SG,25,HOU,13,145,51%,49%,,,,-15.1,-18.9,4,0,11,0,3,1,6,0,3
Tim Frazier,PG,29,DET,27,355,100%,,,,,-7.1,-3.3,19,11,16,3,8,11,226,0,3
Enes Freedom,C,27,BOS,58,983,,,,,100%,9.6,4.3,15,11,60,14,44,1,133,12,36
Markelle Fultz,PG,21,ORL,72,1996,87%,13%,,,,-1.5,-1.0,79,43,59,16,69,10,899,19,49
Wenyen Gabriel,PF,22,TOT,30,235,,,10%,57%,33%,-6.6,-5.5,2,6,16,4,11,1,18,2,2
Wenyen Gabriel,PF,22,SAC,11,61,,,24%,71%,5%,-22.1,-20.3,0,4,2,1,5,0,6,2,1
Wenyen Gabriel,PF,22,POR,19,174,,,5%,52%,43%,-1.2,-0.3,2,2,14,3,6,1,12,0,1
Daniel Gafford,C,21,CHI,43,609,,,,2%,98%,-2.3,1.3,9,9,54,8,27,14,50,6,8
Danilo Gallinari,PF,31,OKC,62,1834,,,,98%,2%,4.8,6.6,27,22,29,12,111,15,280,20,31
Langston Galloway,SG,28,DET,66,1702,5%,77%,18%,,,-4.7,-1.1,26,9,31,3,32,13,240,13,14
Darius Garland,SG,20,CLE,59,1824,25%,75%,,,,-8.9,-2.1,90,32,49,5,32,15,550,5,38
Marc Gasol,C,35,TOR,44,1161,,,,,100%,10.6,5.9,28,9,61,12,14,9,357,5,7
Rudy Gay,PF,33,SAS,67,1461,,,1%,92%,8%,-0.4,1.3,32,36,55,7,60,8,263,11,22
Paul George,SF,29,LAC,48,1419,,4%,83%,13%,,8.3,3.1,70,33,50,18,84,17,448,17,38
Taj Gibson,C,34,NYK,62,1025,,,,,100%,-12.0,-8.3,7,12,56,19,29,3,131,10,17
Harry Giles,C,21,SAC,46,667,,,,1%,99%,-8.8,-8.2,16,12,68,13,21,4,137,3,16
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,6%,78%,17%,,,2.7,3.4,61,40,53,15,148,9,561,35,62
Rudy Gobert,C,27,UTA,68,2333,,,,,100%,5.9,10.9,30,36,110,35,181,14,251,34,51
Brandon Goodwin,PG,24,ATL,34,430,88%,12%,,,,-14.9,-7.9,19,6,15,2,13,2,119,3,12
Aaron Gordon,PF,24,ORL,62,2017,,,31%,69%,,-1.2,-0.4,42,27,55,19,105,7,536,27,42
Eric Gordon,SF,31,HOU,36,1016,,17%,69%,14%,,0.3,-3.8,15,16,35,5,50,4,144,15,29
,,,,,,,,,,,,,,,,,,,,,
Devonte' Graham,PG,24,CHO,63,2211,39%,61%,,,,-4.8,8.0,111,43,28,7,85,20,1093,21,31
Treveon Graham,SF,26,TOT,55,929,1%,52%,41%,6%,,-6.3,-1.0,7,4,45,5,27,18,109,5,23
Treveon Graham,SF,26,MIN,33,663,1%,62%,35%,3%,,-6.8,-2.8,3,3,29,1,18,12,71,3,19
Treveon Graham,SF,26,ATL,22,266,,28%,58%,14%,,-4.9,3.3,4,1,16,4,9,6,38,2,4
Jerami Grant,PF,25,DEN,71,1892,,,15%,83%,2%,-1.5,-7.9,20,14,73,22,99,18,221,32,32
Jerian Grant,SG,27,WAS,6,80,12%,49%,39%,,,-6.3,-1.8,1,1,4,0,3,0,22,1,3
Josh Gray,PG,26,NOP,2,23,100%,,,,,-13.0,-11.7,5,0,1,0,0,0,5,0,0
Danny Green,SG,32,LAL,68,1687,,2%,86%,12%,,6.4,1.3,32,12,59,9,16,19,209,4,7
Draymond Green,PF,29,GSW,43,1222,,,23%,73%,4%,-7.1,2.8,74,10,48,4,33,14,636,9,13
JaMychal Green,PF,29,LAC,63,1307,,,1%,92%,7%,5.2,-2.0,18,7,78,15,20,5,123,3,20
Javonte Green,SG,26,BOS,48,468,2%,55%,43%,,,-1.4,-9.1,11,6,24,1,20,1,59,2,5
Jeff Green,PF-C,33,TOT,48,960,,,,49%,51%,-4.5,-8.4,9,12,42,17,42,8,126,5,14
Jeff Green,PF,33,UTA,30,553,,,,82%,18%,-9.0,-13.4,5,5,19,14,31,3,45,3,10
Jeff Green,C,33,HOU,18,407,,,,4%,96%,1.5,-1.7,4,7,23,3,11,5,81,2,4
Blake Griffin,PF,30,DET,18,512,,,,87%,13%,-2.3,2.2,22,9,18,1,45,10,151,12,19
Marko Guduric,SG,24,MEM,44,484,,70%,29%,1%,,-2.9,-2.6,16,5,22,2,13,4,106,8,11
Kyle Guy,SG,22,SAC,3,10,,100%,,,,-54.3,-52.4,0,0,0,0,0,0,2,0,0
Rui Hachimura,PF,21,WAS,48,1444,,,22%,77%,2%,-8.1,-6.1,13,21,42,9,65,7,218,11,53
Devon Hall,PG,24,OKC,11,81,94%,4%,2%,,,7.2,5.7,3,1,2,1,1,1,35,0,0
Donta Hall,C-PF,22,TOT,9,133,,,,13%,87%,-12.8,-11.1,2,0,16,3,8,0,9,2,1
Donta Hall,PF,22,DET,4,48,,,,35%,65%,-30.0,-26.2,1,0,6,1,3,0,5,0,1
Donta Hall,C,22,BRK,5,85,,,,,100%,-3.2,-2.6,1,0,10,2,5,0,4,2,0
Dusty Hannahs,SG,26,MEM,2,13,100%,,,,,13.0,13.7,0,0,0,0,1,0,0,0,0
Tim Hardaway Jr.,SG,27,DAL,71,2091,,41%,57%,1%,,5.6,1.7,31,22,50,8,68,25,335,17,45
James Harden,SG,30,HOU,68,2483,16%,75%,10%,,,5.7,9.1,145,95,80,51,326,12,1226,75,92
Maurice Harkless,PF-SF,26,TOT,62,1427,,,42%,58%,,2.1,-2.7,26,7,97,12,31,2,162,6,13
Maurice Harkless,PF,26,LAC,50,1141,,,30%,70%,,4.0,-3.6,23,5,76,10,20,1,114,4,11
Maurice Harkless,SF,26,NYK,12,286,,,94%,7%,,-5.5,1.0,3,2,21,2,11,1,48,2,2
,,,,,,,,,,,,,,,,,,,,,
Jared Harper,PG,22,PHO,3,8,100%,,,,,-74.3,-74.9,0,0,0,0,0,0,0,0,0
Montrezl Harrell,C,26,LAC,63,1749,,,,,100%,6.0,-0.9,30,39,89,18,184,36,266,72,71
Gary Harris,SG,25,DEN,56,1780,3%,86%,11%,,,3.9,3.3,25,17,46,9,43,10,292,12,27
Joe Harris,SF,28,BRK,69,2123,,15%,77%,7%,,0.8,3.7,48,28,74,19,32,10,352,7,56
Tobias Harris,PF,27,PHI,72,2469,,,23%,74%,3%,2.8,1.4,36,26,87,17,104,3,540,33,60
Shaquille Harrison,SG,26,CHI,43,484,32%,45%,22%,1%,,7.0,12.2,11,3,20,2,23,4,122,3,13
Josh Hart,SF,24,NOP,65,1755,,5%,78%,17%,,-2.5,-2.4,36,20,70,9,53,7,268,13,25
Isaiah Hartenstein,C,21,HOU,23,266,,,,,100%,7.4,4.8,7,2,22,3,12,2,43,6,2
Udonis Haslem,C,39,MIA,4,44,,,,78%,22%,-19.6,-22.8,0,0,2,0,0,2,2,0,0
Jaxson Hayes,C,19,NOP,64,1080,,,,,100%,-2.3,-1.4,19,5,100,24,93,10,143,23,14
Gordon Hayward,SF,29,BOS,52,1740,,6%,77%,17%,,8.5,4.1,41,33,34,18,64,3,505,17,39
John Henson,C,29,TOT,40,600,,,,,100%,-1.6,5.9,20,6,42,3,15,6,134,4,11
John Henson,C,29,CLE,29,412,,,,,100%,-2.1,6.8,11,2,33,2,11,5,107,3,9
John Henson,C,29,DET,11,188,,,,,100%,-0.6,3.8,9,4,9,1,4,1,27,1,2
Dewan Hernandez,C,23,TOR,6,28,,,,,100%,26.3,19.8,1,1,1,1,2,0,8,1,5
Juancho Hernangómez,PF,24,TOT,48,833,,,1%,85%,15%,-3.7,-2.9,16,6,28,7,35,11,94,7,15
Juancho Hernangómez,PF,24,DEN,34,422,,,,77%,23%,0.4,-2.0,9,3,16,4,14,6,50,3,6
Juancho Hernangómez,PF,24,MIN,14,411,,,2%,93%,6%,-7.9,-3.8,7,3,12,3,21,5,44,4,9
Willy Hernangómez,C,25,CHO,31,375,,,,,100%,-4.4,3.1,11,7,18,7,22,2,71,3,9
Tyler Herro,SG,20,MIA,55,1508,19%,75%,6%,,,-1.9,-8.4,43,24,36,6,36,5,295,5,23
Kevin Hervey,PF,23,OKC,10,52,,,,25%,75%,-32.4,-34.7,0,0,2,0,0,0,10,0,0
Mario Hezonja,PF,24,POR,53,871,,,10%,84%,6%,-8.8,-10.5,19,10,49,7,28,7,124,5,18
Buddy Hield,SG,27,SAC,72,2216,3%,89%,8%,,,-2.8,-2.0,69,67,60,14,46,4,496,9,44
George Hill,PG,33,MIL,59,1271,87%,13%,,,,11.8,2.7,30,14,42,4,29,19,434,4,20
,,,,,,,,,,,,,,,,,,,,,
Solomon Hill,PF,28,TOT,59,1088,,1%,9%,88%,2%,-2.6,-3.0,32,8,43,7,21,7,250,3,9
Solomon Hill,PF,28,MEM,48,901,,,4%,95%,1%,-2.3,-2.1,24,6,38,7,14,7,222,1,6
Solomon Hill,PF,28,MIA,11,187,,7%,33%,56%,4%,-4.0,-7.3,8,2,5,0,7,0,28,2,3
Jaylen Hoard,PF,20,POR,13,103,,13%,30%,50%,7%,3.6,4.7,1,1,5,1,7,1,9,3,4
Aaron Holiday,PG,23,IND,66,1617,100%,,,,,3.5,2.3,56,13,56,5,36,29,534,9,27
Jrue Holiday,SG,29,NOP,61,2117,3%,61%,35%,1%,,0.8,5.4,116,44,56,10,81,25,994,24,59
Justin Holiday,SF,30,IND,73,1826,,20%,78%,2%,,1.7,-1.4,22,12,77,4,24,20,222,5,24
Rondae Hollis-Jefferson,PF,25,TOR,60,1122,,1%,30%,66%,3%,4.5,-3.1,26,20,45,7,69,17,277,15,27
Richaun Holmes,C,26,SAC,44,1242,,,,2%,98%,1.1,5.0,14,11,74,18,55,2,97,10,15
Rodney Hood,SF,27,POR,21,619,,1%,85%,13%,,1.1,2.4,8,4,16,2,15,7,84,3,4
Al Horford,C,33,PHI,67,2025,,,,32%,68%,2.8,1.1,47,10,88,13,29,0,637,8,24
Talen Horton-Tucker,SG,19,LAL,6,81,,61%,39%,,,-9.6,-15.8,4,1,6,0,2,0,13,0,1
Danuel House Jr.,SF,26,HOU,63,1913,,1%,63%,36%,1%,3.2,0.4,28,10,68,6,41,21,210,8,19
Dwight Howard,C,34,LAL,69,1306,,,,,100%,6.6,1.2,18,17,103,35,92,2,105,23,14
William Howard,PF,26,HOU,2,13,,,,100%,,-53.0,-56.2,0,1,1,0,0,0,3,0,0
Kevin Huerter,SG,21,ATL,56,1760,7%,70%,22%,1%,,-6.9,2.3,56,16,61,7,26,4,511,6,18
De'Andre Hunter,SF,22,ATL,63,2018,,,67%,33%,,-6.2,4.7,37,34,81,16,67,18,278,14,54
Chandler Hutchison,SF,23,CHI,28,527,,,61%,39%,,-12.6,-11.2,17,3,30,3,39,10,64,9,16
Serge Ibaka,C,30,TOR,55,1485,,,,6%,94%,3.8,-5.0,24,32,69,31,59,0,197,18,22
Andre Iguodala,SF,36,MIA,21,418,,10%,69%,21%,,-0.5,-3.9,15,5,21,4,7,4,125,2,1
Ersan İlyasova,PF,32,MIL,63,986,,,3%,87%,9%,5.4,-6.4,20,4,51,5,34,17,122,7,13
Joe Ingles,PF,32,UTA,72,2137,,,15%,84%,1%,5.1,7.3,88,21,37,25,29,14,884,5,21
,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,PF,22,NOP,62,2104,,,23%,75%,2%,-1.4,0.0,74,51,72,35,173,18,631,45,52
Kyrie Irving,PG,27,BRK,20,658,100%,,,,,-0.3,0.5,30,16,16,2,37,6,310,7,16
Jonathan Isaac,PF,22,ORL,34,980,,,,97%,4%,1.2,3.1,19,15,44,7,37,6,120,10,10
Wes Iwundu,SF,25,ORL,52,953,1%,33%,62%,5%,,1.5,3.5,9,9,33,3,44,1,147,6,16
Frank Jackson,PG,21,NOP,59,797,100%,,,,,-3.5,-2.8,16,8,35,12,31,6,152,9,18
Jaren Jackson Jr.,C,20,MEM,57,1622,,,,45%,55%,-3.0,-4.3,21,21,116,36,81,13,185,17,64
Josh Jackson,SF,22,MEM,22,381,,3%,87%,10%,,4.0,5.3,19,2,21,4,21,8,78,5,11
Justin Jackson,PF,24,DAL,65,1045,,,20%,75%,5%,1.4,-4.9,8,2,37,2,19,2,130,3,15
Reggie Jackson,SG-PG,29,TOT,31,743,73%,27%,,,,6.9,6.6,30,11,22,5,17,6,296,9,17
Reggie Jackson,PG,29,DET,14,381,87%,13%,,,,4.8,10.1,16,5,8,0,9,3,165,6,9
Reggie Jackson,SG,29,LAC,17,362,57%,42%,,,,9.2,3.0,14,6,14,5,8,3,131,3,8
Justin James,SF,23,SAC,36,232,,19%,70%,10%,1%,-2.8,-0.7,4,2,10,0,8,3,42,1,3
LeBron James,PG,35,LAL,67,2316,57%,37%,7%,,,9.0,9.9,165,50,33,28,184,19,1602,68,59
Amile Jefferson,PF,26,ORL,18,74,,,4%,88%,8%,8.1,9.3,1,0,3,1,6,0,10,0,1
DaQuan Jeffries,SG,22,SAC,13,141,3%,27%,69%,1%,,1.4,3.7,1,1,8,0,3,2,17,0,1
Ty Jerome,SG,22,PHO,31,328,32%,31%,32%,5%,,-12.8,-14.5,14,0,12,1,3,4,110,0,9
Alize Johnson,PF,23,IND,17,118,,7%,60%,33%,,13.1,11.2,1,3,6,0,4,0,16,2,6
B.J. Johnson,SF,24,ORL,10,83,,19%,67%,14%,,-5.1,-4.1,1,4,2,1,3,1,7,0,1
Cameron Johnson,PF,23,PHO,57,1255,,,21%,78%,1%,0.0,-0.6,13,8,45,1,22,15,173,9,15
James Johnson,PF-C,32,TOT,32,619,,,1%,57%,42%,-5.6,-5.0,22,11,38,7,26,1,185,6,13
James Johnson,PF,32,MIA,18,281,,,2%,95%,3%,2.5,-0.4,4,2,11,4,8,1,53,2,7
James Johnson,C,32,MIN,14,338,,,,25%,75%,-12.4,-8.8,18,9,27,3,18,0,132,4,6
Keldon Johnson,SF,20,SAS,17,301,,8%,76%,15%,,10.7,13.1,1,6,12,2,20,0,37,4,5
Stanley Johnson,PF,23,TOR,25,150,,,3%,93%,5%,5.4,-1.3,6,3,7,2,7,1,51,2,5
,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,PG-SG,27,TOT,39,709,51%,49%,,,,-5.5,-6.6,16,7,26,2,20,9,184,0,16
Tyler Johnson,PG,27,PHO,31,515,51%,49%,,,,-7.8,-9.6,12,6,18,2,13,7,123,0,12
Tyler Johnson,SG,27,BRK,8,194,52%,47%,1%,,,0.7,1.4,4,1,8,0,7,2,61,0,4
Nikola Jokić,C,24,DEN,73,2336,,,,,100%,4.4,6.2,135,54,98,20,107,19,1171,26,32
Damian Jones,C,24,ATL,55,887,,,,1%,99%,-14.0,-8.3,4,4,84,10,38,4,82,5,25
Derrick Jones Jr.,SF,22,MIA,59,1375,,6%,80%,14%,,1.3,-2.6,7,10,69,3,55,20,155,14,14
Tyus Jones,PG,23,MEM,65,1232,100%,,,,,-1.8,-1.7,39,7,19,3,16,8,689,1,25
DeAndre Jordan,C,31,BRK,56,1234,,,,,100%,-1.3,-1.0,40,11,58,14,49,6,245,18,19
Cory Joseph,PG,28,SAC,72,1759,73%,27%,,,,0.2,4.7,53,20,73,3,27,41,614,6,13
Mfiondu Kabengele,C,22,LAC,12,64,,,,15%,86%,0.9,-5.7,1,1,8,0,2,0,5,1,4
Frank Kaminsky,C,26,PHO,39,777,,,,,100%,-0.7,-1.4,12,9,42,5,41,7,182,9,19
Luke Kennard,SG,23,DET,28,922,,53%,47%,,,-2.8,1.8,21,12,26,6,22,4,272,3,13
Stanton Kidd,SG,27,UTA,4,15,,58%,42%,,,-0.2,-2.5,0,0,3,0,0,0,2,0,2
Michael Kidd-Gilchrist,PF,26,TOT,25,281,,,28%,71%,1%,5.0,7.3,5,4,17,1,6,1,37,2,5
Michael Kidd-Gilchrist,PF,26,CHO,12,160,,,28%,70%,2%,10.2,18.2,1,2,6,0,3,1,26,1,4
Michael Kidd-Gilchrist,PF,26,DAL,13,121,,,28%,72%,,-1.9,-7.0,4,2,11,1,3,0,11,1,1
Louis King,SF,20,DET,10,62,,3%,95%,1%,,11.3,15.8,1,0,4,1,2,0,12,1,1
Maxi Kleber,PF,28,DAL,74,1890,,,,65%,35%,3.4,-3.1,17,15,103,15,42,12,215,14,14
Brandon Knight,SG-PG,28,TOT,25,462,56%,35%,10%,,,-8.9,-2.9,20,11,13,4,5,4,175,1,8
Brandon Knight,SG,28,CLE,16,241,20%,62%,18%,,,-11.2,-3.4,6,5,7,2,2,1,80,1,3
Brandon Knight,PG,28,DET,9,221,95%,5%,,,,-6.3,-2.3,14,6,6,2,3,3,95,0,5
Kevin Knox,SF,20,NYK,65,1166,,3%,77%,19%,,-8.0,-2.6,15,14,56,10,47,2,145,5,21
John Konchar,SG,23,MEM,19,181,14%,75%,12%,,,7.3,8.5,5,1,7,0,2,0,54,2,2
Furkan Korkmaz,SG,22,PHI,72,1559,,32%,65%,3%,,2.0,-0.6,26,11,46,5,39,13,187,7,8
Luke Kornet,C,24,CHI,36,559,,,,,100%,-5.0,-2.0,6,2,35,4,13,3,75,2,6
Kyle Korver,SF,38,MIL,58,960,,19%,66%,16%,,5.6,-6.1,26,7,41,7,9,8,155,2,5
,,,,,,,,,,,,,,,,,,,,,
Rodions Kurucs,PF,21,BRK,47,684,,,,82%,18%,-2.0,-1.7,19,13,37,6,12,7,131,2,14
Kyle Kuzma,PF,24,LAL,61,1526,,,9%,88%,4%,5.7,-0.2,36,21,73,17,77,10,194,18,22
Skal Labissière,C,23,POR,33,567,,,,8%,92%,1.7,3.1,8,7,45,10,13,3,102,1,7
Jeremy Lamb,SG,27,IND,46,1291,,95%,5%,,,-0.3,-4.0,27,11,44,8,51,20,223,9,16
Romeo Langford,SG,20,BOS,32,370,6%,47%,44%,3%,,10.6,4.6,4,5,19,1,9,10,32,0,11
Zach LaVine,SF,24,CHI,60,2085,,24%,73%,3%,,-5.0,-5.0,96,59,63,20,143,7,609,33,86
Vic Law,PF,24,ORL,8,62,,,,94%,6%,-7.0,-6.1,1,0,4,1,1,1,8,0,1
Jake Layman,SF,25,MIN,23,505,,1%,32%,67%,,1.5,7.3,10,3,21,4,17,4,34,6,4
T.J. Leaf,PF,22,IND,28,222,,,,57%,43%,1.5,-0.9,2,5,12,0,6,2,23,2,7
Jalen Lecque,SG,19,PHO,5,32,,7%,94%,,,-25.2,-25.9,0,0,1,1,1,2,4,0,0
Courtney Lee,SG,34,DAL,24,345,,17%,77%,6%,,7.5,2.9,6,2,14,0,3,0,32,1,0
Damion Lee,SG,27,GSW,49,1423,19%,65%,16%,,,-4.2,8.6,38,10,46,7,44,21,316,10,21
Alex Len,C,26,TOT,55,970,,,,,100%,-5.9,0.6,12,16,76,17,51,1,125,9,21
Alex Len,C,26,ATL,40,745,,,,,100%,-8.8,-1.1,9,13,57,11,39,1,103,7,18
Alex Len,C,26,SAC,15,225,,,,,100%,3.7,6.3,3,3,19,6,12,0,22,2,3
Kawhi Leonard,SF,28,LAC,57,1848,,46%,48%,6%,,12.0,11.5,59,42,37,24,167,7,684,45,40
Meyers Leonard,C,27,MIA,51,1034,,,,,100%,4.4,2.1,17,6,67,9,15,7,135,8,10
Caris LeVert,SG,25,BRK,45,1330,4%,73%,22%,,,0.1,1.2,58,33,35,8,90,12,480,27,41
Damian Lillard,PG,29,POR,66,2474,100%,,,,,1.7,8.7,134,38,51,9,166,23,1266,41,85
Nassir Little,PF,19,POR,48,573,,7%,28%,65%,,-3.1,-2.5,8,2,47,3,20,2,55,6,12
Kevon Looney,C,23,GSW,20,262,,,,35%,65%,-18.2,-10.3,4,1,15,5,9,0,47,6,6
Brook Lopez,C,31,MIL,68,1817,,,,,100%,12.4,4.9,24,7,106,21,77,3,249,17,22
,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,C,31,MIL,66,958,,,,,100%,2.7,-10.0,10,12,55,25,23,5,114,7,9
Kevin Love,PF,31,CLE,56,1780,,,,74%,26%,-8.8,-1.8,88,28,53,7,81,14,415,10,29
Kyle Lowry,PG,33,TOR,58,2098,100%,,,,,6.5,-0.5,112,32,81,17,119,52,997,21,46
Timothé Luwawu-Cabarrot,SF,24,BRK,47,853,,18%,66%,16%,1%,-1.7,-1.4,16,13,43,7,34,7,67,5,24
Trey Lyles,PF,24,SAS,63,1271,,,,87%,13%,-2.0,-1.3,27,6,60,3,22,3,158,6,17
Daryl Macon,PG,24,MIA,4,14,100%,,,,,5.6,2.7,0,1,0,0,0,0,2,0,0
J.P. Macura,SG,24,CLE,1,1,,100%,,,,300.0,308.1,0,0,0,0,0,0,0,0,0
Josh Magette,PG,30,ORL,8,38,100%,,,,,-1.1,-0.1,5,0,0,0,0,1,12,0,0
Ian Mahinmi,C,33,WAS,38,808,,,,,100%,-4.7,-0.2,11,13,60,11,53,9,113,15,21
Thon Maker,C,22,DET,60,776,,,,11%,89%,-9.3,-6.8,22,10,64,8,47,3,107,10,13
Terance Mann,SF,23,LAC,41,362,4%,24%,72%,1%,,1.3,-5.8,12,2,18,3,14,2,135,3,7
Boban Marjanović,C,31,DAL,44,422,,,,,100%,6.0,1.3,10,9,23,8,29,1,44,9,15
Lauri Markkanen,PF,22,CHI,50,1492,,,,80%,20%,-3.0,0.7,36,26,56,11,67,8,181,10,39
Caleb Martin,SF,24,CHO,18,317,5%,73%,23%,,,-0.2,7.7,9,2,15,1,10,8,56,1,3
Cody Martin,SF,24,CHO,48,903,1%,26%,71%,3%,,-2.8,6.1,21,13,33,5,32,31,231,9,10
Jeremiah Martin,PG,23,BRK,9,99,70%,30%,,,,-7.5,-7.1,2,2,4,0,6,6,45,0,4
Kelan Martin,SF,24,MIN,31,495,,12%,66%,22%,,-2.3,2.7,3,5,32,2,14,2,59,4,3
Frank Mason III,PG,25,MIL,9,118,100%,,,,,1.2,-9.1,4,5,5,1,8,0,73,1,5
Garrison Mathews,SG,23,WAS,18,227,6%,58%,33%,3%,,7.5,12.9,4,0,14,2,13,8,27,2,4
Wesley Matthews,SG,33,MIL,67,1635,3%,75%,22%,,,13.1,5.8,20,16,36,3,27,28,222,4,19
,,,,,,,,,,,,,,,,,,,,,
Luc Mbah a Moute,PF,33,HOU,3,25,,,81%,19%,,-11.7,-14.8,1,0,0,0,1,0,0,0,0
Patrick McCaw,SF,24,TOR,37,908,,24%,70%,6%,,0.9,-7.8,11,11,32,2,10,1,194,2,8
CJ McCollum,SG,28,POR,70,2556,12%,81%,6%,,,0.5,4.8,61,38,85,16,80,6,742,19,59
T.J. McConnell,PG,27,IND,71,1326,61%,39%,,,,2.6,0.5,47,30,32,4,20,20,850,8,23
Jalen McDaniels,SF,22,CHO,16,293,,,38%,62%,,-4.2,3.2,9,1,20,1,9,6,32,3,3
Doug McDermott,PF,28,IND,69,1372,,,12%,84%,5%,3.8,2.5,18,7,63,9,28,7,169,12,37
JaVale McGee,C,32,LAL,68,1130,,,,,100%,5.7,-0.1,19,11,74,13,42,1,83,12,19
Rodney McGruder,SG,28,LAC,56,871,10%,42%,47%,1%,,1.4,-6.8,14,5,36,1,16,11,92,4,17
Alfonzo McKinnie,SF,27,CLE,40,593,,7%,65%,29%,,-6.6,1.7,7,5,29,6,13,4,36,2,14
Jordan McLaughlin,PG,23,MIN,30,590,99%,1%,,,,-7.1,-3.1,20,7,17,2,16,5,306,7,16
Ben McLemore,SF,26,HOU,71,1619,,30%,67%,3%,,5.3,4.3,22,10,79,9,26,8,155,3,21
Jordan McRae,SG,28,TOT,37,784,7%,82%,12%,,,-4.4,0.0,19,16,34,3,42,7,223,9,23
Jordan McRae,SG,28,WAS,29,654,7%,89%,4%,,,-3.3,1.6,16,14,30,3,31,7,194,7,20
Jordan McRae,SG,28,DEN,4,32,24%,50%,27%,,,19.5,17.4,0,0,1,0,2,0,11,0,0
Jordan McRae,SG,28,DET,4,98,,45%,55%,,,-19.8,-16.1,3,2,3,0,9,0,18,2,3
Nicolò Melli,C,29,NOP,60,1042,,,,43%,57%,-4.6,-4.6,18,12,72,5,23,12,207,6,7
De'Anthony Melton,PG,21,MEM,60,1167,20%,79%,1%,,,5.4,9.2,47,21,51,2,36,14,403,8,24
Chimezie Metu,C,22,SAS,18,105,,,,28%,72%,-6.6,-5.6,2,4,2,3,5,0,24,1,2
Khris Middleton,SF,28,MIL,62,1853,,1%,79%,20%,1%,11.6,3.4,68,37,51,23,86,12,609,19,39
Eric Mika,C,25,SAC,1,19,,,,,100%,17.3,19.5,0,0,2,0,1,0,0,0,0
C.J. Miles,SF,32,WAS,10,161,,,99%,1%,,-4.2,0.4,2,1,8,0,8,4,26,1,2
Malcolm Miller,SF,26,TOR,28,162,,29%,71%,,,19.7,13.7,1,2,6,1,3,1,31,0,2
Patty Mills,PG,31,SAS,66,1485,100%,,,,,3.9,9.0,30,10,28,8,37,31,265,9,18
,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,PF,34,DEN,51,1240,,,1%,95%,4%,8.8,10.1,19,24,78,19,66,5,197,16,35
Shake Milton,SG,23,PHI,40,805,11%,62%,26%,1%,,-0.1,-3.2,27,9,51,7,33,6,254,4,14
Donovan Mitchell,SG,23,UTA,69,2364,47%,53%,,,,2.0,-0.9,83,66,69,17,126,21,739,28,48
Naz Mitrou-Long,SG,26,IND,5,47,68%,32%,,,,25.0,23.0,3,0,0,0,0,1,18,0,0
Adam Mokoka,SF,21,CHI,11,112,,2%,62%,36%,1%,23.4,27.7,2,0,4,0,3,0,10,2,4
Malik Monk,SG,21,CHO,55,1169,4%,85%,12%,,,-10.5,-5.4,52,12,38,8,49,7,269,12,29
Matt Mooney,SG,22,CLE,4,19,,84%,16%,,,16.7,24.8,0,0,1,0,0,0,2,0,0
E'Twaun Moore,SG,30,NOP,56,1020,37%,53%,10%,,,-2.3,-1.3,18,6,34,5,18,4,196,6,19
Ja Morant,PG,20,MEM,67,2074,96%,4%,,,,-0.2,1.3,121,58,53,9,140,9,1161,26,92
Juwan Morgan,PF,22,UTA,21,134,,,18%,52%,30%,10.7,8.7,3,2,14,0,2,0,14,0,0
Marcus Morris,SF-PF,30,TOT,62,1936,,,61%,38%,,1.1,5.3,39,25,84,20,84,8,202,26,24
Marcus Morris,SF,30,NYK,43,1387,,,85%,15%,,-4.3,3.6,31,17,60,16,73,6,135,23,20
Marcus Morris,PF,30,LAC,19,549,,,3%,96%,1%,14.7,9.7,8,8,24,4,11,2,67,3,4
Markieff Morris,PF,30,TOT,58,1187,,,,72%,28%,-5.7,-3.8,32,15,71,16,32,4,183,6,15
Markieff Morris,PF,30,DET,44,988,,,,71%,29%,-5.3,-1.6,28,13,55,16,29,3,166,6,13
Markieff Morris,PF,30,LAL,14,199,,,,81%,19%,-8.0,-14.7,4,2,16,0,3,1,17,0,2
Monte Morris,PG,24,DEN,73,1636,100%,,,,,1.1,-2.0,34,11,30,4,39,10,610,13,28
Johnathan Motley,PF,24,LAC,13,41,,,7%,75%,18%,6.4,-0.1,2,1,3,0,3,0,21,1,1
Emmanuel Mudiay,PG,23,UTA,54,850,95%,5%,,,,-2.6,-6.5,34,18,28,12,38,3,299,5,23
Mychal Mulder,SF,25,GSW,7,204,,44%,48%,8%,,4.8,14.5,3,1,10,1,3,0,18,1,0
Dejounte Murray,PG,23,SAS,66,1687,80%,20%,,,,-4.4,-6.4,59,45,58,13,55,11,639,15,37
Jamal Murray,PG,22,DEN,59,1904,84%,16%,,,,5.5,7.0,69,33,49,12,58,22,665,14,27
